Looking for designated active process bound to port 4000...
Tracking anvil (PID: 2119020) bound to port 4000...
Time,Memory(MB)
17:17:18,17.04
17:17:19,17.04
17:17:20,17.04
17:17:21,17.04
17:17:22,17.04
17:17:23,17.04
17:17:24,17.04
17:17:25,17.04
17:17:26,17.04
17:17:27,17.04
17:17:28,17.04
17:17:29,17.04
17:17:30,17.04
17:17:31,17.04
17:17:32,17.04
17:17:33,17.04
17:17:34,17.04
17:17:35,17.04
17:17:36,17.04
17:17:37,17.04
17:17:38,17.04
17:17:39,17.04
17:17:40,17.04
17:17:42,17.04
17:17:43,17.04
17:17:44,17.04
17:17:45,17.04
17:17:46,17.04
17:17:47,17.04
17:17:48,17.04
17:17:49,17.04
17:17:50,17.04
17:17:51,17.04
17:17:52,17.04
17:17:53,17.04
17:17:54,17.04
17:17:55,17.04
17:17:56,17.04
17:17:57,17.04
17:17:58,17.04
17:17:59,17.04
17:18:00,17.04
17:18:01,18.95
17:18:02,18.97
17:18:03,18.97
17:18:04,18.97
17:18:05,18.97
17:18:06,18.97
17:18:07,18.97
17:18:08,18.97
17:18:09,18.97
17:18:10,18.97
17:18:11,18.97
17:18:12,18.97
17:18:13,18.97
17:18:14,18.97
17:18:15,18.97
17:18:16,18.97
17:18:17,18.97
17:18:18,18.97
17:18:19,18.97
17:18:20,18.97
17:18:21,18.97
17:18:22,18.97
17:18:23,18.97
17:18:25,18.97
17:18:26,18.97
17:18:27,18.97
17:18:28,18.97
17:18:29,18.97
17:18:30,18.97
17:18:31,18.97
17:18:32,18.97
17:18:33,18.97
17:18:34,18.97
17:18:35,18.97
17:18:36,18.97
17:18:37,18.97
17:18:38,18.97
17:18:39,18.97
17:18:40,18.97
17:18:41,18.97
17:18:42,18.97
17:18:43,18.97
17:18:44,18.97
17:18:45,18.97
17:18:46,18.97
17:18:47,18.97
17:18:48,18.97
17:18:49,18.97
17:18:50,18.97
17:18:51,18.97
17:18:52,18.97
17:18:53,18.97
17:18:54,18.97
17:18:55,18.97
17:18:56,18.97
17:18:57,18.97
17:18:58,18.97
17:18:59,18.97
17:19:00,18.97
17:19:01,18.97
17:19:02,18.97
17:19:03,18.97
17:19:04,24.95
17:19:06,28.74
17:19:07,33.28
17:19:08,36.95
17:19:09,41.25
17:19:10,49.22
17:19:11,55.19
17:19:12,62.85
17:19:13,70.32
17:19:14,73.98
17:19:15,81.81
17:19:16,87.41
17:19:17,98.30
17:19:18,105.34
17:19:19,107.88
17:19:20,111.98
17:19:21,127.57
17:19:22,136.03
17:19:23,152.17
17:19:24,162.39
17:19:25,164.39
17:19:26,164.66
17:19:27,164.66
17:19:28,164.66
17:19:29,164.66
17:19:30,164.66
17:19:31,164.66
17:19:32,164.66
17:19:33,164.66
17:19:34,164.14
17:19:35,164.14
17:19:36,164.14
17:19:37,164.14
17:19:38,164.14
17:19:39,164.14
17:19:40,164.14
17:19:41,164.14
17:19:42,164.14
17:19:43,164.14
17:19:44,164.14
17:19:45,164.14
17:19:47,164.14
17:19:48,164.14
17:19:49,164.14
17:19:50,164.14
17:19:51,164.14
17:19:52,164.14
17:19:53,164.14
17:19:54,164.14
17:19:55,164.14
17:19:56,164.14
17:19:57,164.14
17:19:58,164.14
17:19:59,164.14
17:20:00,164.14
17:20:01,164.14
17:20:02,164.14
17:20:03,164.14
17:20:04,164.14
17:20:05,164.14
17:20:06,164.14
17:20:07,164.14
17:20:08,164.14
17:20:09,164.14
17:20:10,164.14
17:20:11,164.14
17:20:12,164.14
17:20:13,164.14
17:20:14,164.14
17:20:15,164.14
17:20:16,164.14
17:20:17,164.14
17:20:18,164.14
17:20:19,164.14
17:20:20,164.14
17:20:21,164.14
17:20:22,164.14
17:20:23,164.14
17:20:24,164.14
17:20:25,164.14
17:20:26,164.14
17:20:27,164.14
17:20:28,164.14
17:20:30,164.14
17:20:31,164.14
17:20:32,164.14
17:20:33,164.14
17:20:34,164.14
17:20:35,164.14
17:20:36,164.14
17:20:37,164.14
17:20:38,164.14
17:20:39,164.14
17:20:40,164.14
17:20:41,164.14
17:20:42,164.14
17:20:43,164.14
17:20:44,164.14
17:20:45,164.14
17:20:46,164.14
17:20:47,164.14
17:20:48,164.14
17:20:49,164.14
17:20:50,164.14
17:20:51,164.14
17:20:52,164.14
17:20:53,164.14
17:20:54,164.14
17:20:55,164.14
17:20:56,164.14
17:20:57,164.14
17:20:58,164.14
17:20:59,164.14
17:21:00,164.14
17:21:01,164.14
17:21:02,164.14
17:21:03,164.14
17:21:04,164.14
17:21:06,164.14
17:21:07,164.14
17:21:08,164.14
17:21:09,164.14
17:21:10,164.14
17:21:11,164.14
17:21:12,164.14
17:21:13,164.14
17:21:14,164.14
17:21:15,164.14
17:21:16,164.14
17:21:17,164.14
17:21:18,164.14
17:21:19,164.14
17:21:20,164.14
17:21:21,164.14
17:21:22,164.14
17:21:23,164.14
17:21:25,164.14
17:21:26,164.14
17:21:27,164.14
17:21:28,164.14
17:21:29,164.14
17:21:30,164.14
17:21:31,164.14
17:21:32,164.14
17:21:33,164.14
17:21:34,164.14
17:21:35,164.14
Process 2119020 (anvil) has cleanly terminated.
